,geo,year,avg_male,min_male,max_male,avg_female,min_female,max_female,avg_both,min_both,max_both
0,Afghanistan,2016,82.0,74.6,89.4,31.0,28.2,33.8,72.4,65.8,78.9
1,Albania,2016,41.7,39.8,43.6,15.0,14.3,15.7,31.7,30.2,33.1
2,Algeria,2016,74.6,70.8,78.5,26.9,25.5,28.2,63.0,59.7,66.2
3,Andorra,2016,45.6,44.2,47.0,15.9,15.4,16.4,32.7,31.7,33.7
4,Angola,2016,37.5,36.1,38.9,14.2,13.7,14.7,29.0,27.9,30.0
5,Antigua and Barbuda,2016,41.0,39.4,42.6,14.7,14.1,15.3,30.7,29.5,31.9
6,Argentina,2016,43.4,42.1,44.7,15.5,15.0,16.0,31.5,30.5,32.5
7,Armenia,2016,59.2,56.6,61.7,20.9,20.0,21.8,46.0,44.0,48.0
8,Australia,2016,40.7,39.7,41.8,14.4,14.0,14.7,28.9,28.2,29.7
9,Austria,2016,45.7,44.7,46.7,15.9,15.5,16.3,32.2,31.5,33.0
10,Azerbaijan,2016,10.0,9.5,10.4,3.6,3.4,3.7,8.1,7.7,8.4
11,Bahamas,2016,28.5,26.6,30.3,10.1,9.5,10.8,21.9,20.5,23.3
12,Bahrain,2016,53.0,51.6,54.5,18.8,18.3,19.3,47.9,46.6,49.2
13,Bangladesh,2016,2.4,2.2,2.6,0.9,0.8,0.9,2.1,1.9,2.2
14,Barbados,2016,55.1,53.3,56.9,19.3,18.7,20.0,41.1,39.7,42.4
15,Belarus,2016,49.4,47.9,50.9,17.1,16.6,17.6,32.8,31.9,33.8
16,Belgium,2016,48.4,47.1,49.6,16.8,16.4,17.3,34.3,33.4,35.1
17,Belize,2016,45.0,43.2,46.7,16.6,15.9,17.2,35.1,33.8,36.5
18,Benin,2016,30.8,29.0,32.6,11.5,10.9,12.2,25.1,23.6,26.5
19,Bhutan,2016,5.0,4.7,5.3,1.8,1.7,1.9,4.2,3.9,4.4
20,Bolivia (Plurinational State of),2016,29.1,28.0,30.3,10.7,10.3,11.1,22.6,21.7,23.5
21,Bosnia and Herzegovina,2016,37.9,36.3,39.4,13.1,12.6,13.7,29.0,27.8,30.2
22,Botswana,2016,70.7,67.8,73.5,25.9,24.9,27.0,56.6,54.2,58.9
23,Brazil,2016,53.7,52.0,55.4,19.2,18.6,19.8,41.7,40.3,43.0
24,Brunei Darussalam,2016,3.8,3.5,4.0,1.4,1.3,1.4,2.8,2.6,2.9
25,Bulgaria,2016,57.5,55.9,59.1,19.8,19.3,20.4,41.5,40.4,42.7
26,Burkina Faso,2016,59.8,56.8,62.9,22.6,21.5,23.8,47.9,45.4,50.3
27,Burundi,2016,64.2,60.7,67.7,24.1,22.8,25.4,51.2,48.4,54.0
28,Cabo Verde,2016,46.1,44.2,48.0,17.0,16.3,17.7,36.7,35.1,38.2
29,Cambodia,2016,59.3,55.9,62.7,21.9,20.7,23.2,47.0,44.3,49.6
30,Cameroon,2016,61.0,58.5,63.5,22.9,22.0,23.8,48.8,46.8,50.8
31,Canada,2016,40.8,39.7,41.9,14.3,13.9,14.7,29.9,29.1,30.8
32,Central African Republic,2016,24.1,22.7,25.5,9.0,8.5,9.5,19.0,17.9,20.1
33,Chad,2016,18.3,17.1,19.4,7.0,6.5,7.4,14.9,14.0,15.9
34,Chile,2016,40.6,39.4,41.9,14.4,13.9,14.8,29.6,28.6,30.5
35,China,2016,36.8,35.5,38.1,12.9,12.4,13.3,27.9,26.9,28.8
36,Colombia,2016,42.1,40.5,43.7,15.1,14.5,15.7,32.9,31.6,34.1
37,Comoros,2016,56.8,51.9,61.7,21.2,19.3,23.0,48.3,44.1,52.5
38,Congo,2016,42.6,40.5,44.7,15.8,15.0,16.6,32.7,31.1,34.3
39,Cook Islands,2016,58.7,57.3,60.1,21.7,21.2,22.2,45.1,44.0,46.1
40,Costa Rica,2016,35.6,34.2,37.0,12.7,12.2,13.2,28.1,27.0,29.2
41,Côte d'Ivoire,2016,57.9,54.9,61.0,21.7,20.6,22.9,46.9,44.4,49.4
42,Croatia,2016,44.2,42.5,45.8,15.3,14.7,15.9,32.4,31.1,33.6
43,Cuba,2016,36.9,35.5,38.4,12.9,12.4,13.4,28.5,27.4,29.6
44,Cyprus,2016,45.8,44.2,47.4,16.1,15.6,16.7,33.8,32.7,35.0
45,Czechia,2016,58.2,56.6,59.9,20.1,19.5,20.6,41.3,40.1,42.4
46,Democratic People's Republic of Korea,2016,26.9,26.1,27.7,9.5,9.2,9.8,20.7,20.1,21.4
47,Democratic Republic of the Congo,2016,19.2,18.1,20.3,7.2,6.8,7.7,15.3,14.4,16.1
48,Denmark,2016,42.1,40.8,43.3,14.8,14.3,15.2,30.1,29.3,31.0
49,Djibouti,2016,7.1,6.8,7.4,2.6,2.5,2.7,5.8,5.6,6.1
50,Dominica,2016,50.4,48.4,52.4,18.1,17.4,18.8,39.0,37.5,40.5
51,Dominican Republic,2016,44.4,42.9,46.0,16.2,15.6,16.7,34.5,33.3,35.7
52,Ecuador,2016,26.6,25.6,27.7,9.7,9.3,10.0,20.6,19.8,21.4
53,Egypt,2016,36.7,34.1,39.2,13.3,12.4,14.2,31.0,28.9,33.1
54,El Salvador,2016,35.5,34.0,37.1,13.1,12.5,13.6,27.6,26.4,28.8
55,Equatorial Guinea,2016,45.1,43.8,46.4,16.6,16.1,17.1,33.5,32.5,34.5
56,Eritrea,2016,16.5,15.5,17.6,6.2,5.8,6.6,13.5,12.7,14.4
57,Estonia,2016,49.4,47.6,51.2,17.0,16.4,17.6,34.4,33.1,35.6
58,Eswatini,2016,92.3,88.5,96.2,34.9,33.5,36.4,74.3,71.2,77.4
59,Ethiopia,2016,33.4,31.5,35.4,12.6,11.9,13.4,27.3,25.7,28.9
60,Fiji,2016,44.3,42.1,46.4,15.9,15.2,16.7,36.5,34.8,38.3
61,Finland,2016,44.5,43.0,46.0,15.5,15.0,16.0,31.9,30.8,32.9
62,France,2016,51.1,49.6,52.6,17.9,17.3,18.4,36.1,35.0,37.2
63,Gabon,2016,49.8,48.2,51.5,18.4,17.8,19.0,37.2,36.0,38.4
64,Gambia,2016,37.7,36.2,39.1,14.3,13.7,14.8,30.4,29.2,31.6
65,Georgia,2016,78.0,75.0,81.0,27.4,26.3,28.4,60.4,58.1,62.7
66,Germany,2016,51.9,50.5,53.3,18.0,17.5,18.4,36.5,35.5,37.4
67,Ghana,2016,27.3,25.9,28.8,10.2,9.6,10.7,22.1,20.9,23.2
68,Greece,2016,47.5,45.0,50.0,16.5,15.6,17.3,34.5,32.7,36.2
69,Grenada,2016,52.4,50.7,54.2,19.0,18.4,19.6,40.4,39.0,41.7
70,Guatemala,2016,24.3,23.2,25.5,9.1,8.7,9.5,19.4,18.5,20.3
71,Guinea,2016,15.3,14.2,16.4,5.7,5.3,6.1,12.5,11.6,13.4
72,Guinea-Bissau,2016,44.1,41.8,46.4,16.4,15.6,17.3,35.6,33.8,37.4
73,Guyana,2016,43.9,42.4,45.4,16.0,15.5,16.6,34.7,33.5,35.9
74,Haiti,2016,45.1,44.2,46.0,16.7,16.4,17.0,35.6,34.9,36.3
75,Honduras,2016,36.3,34.7,37.9,13.5,12.9,14.0,29.1,27.9,30.4
76,Hungary,2016,51.8,50.2,53.5,17.9,17.3,18.5,37.0,35.8,38.2
77,Iceland,2016,38.0,36.8,39.2,13.4,13.0,13.9,27.6,26.7,28.5
78,India,2016,39.6,37.3,41.8,14.4,13.5,15.2,31.5,29.8,33.3
79,Indonesia,2016,9.1,8.4,9.7,3.3,3.0,3.5,7.4,6.9,7.9
80,Iran (Islamic Republic of),2016,68.0,61.4,74.7,24.4,22.0,26.8,61.4,55.4,67.3
81,Iraq,2016,31.6,29.6,33.5,11.8,11.0,12.5,26.7,25.0,28.4
82,Ireland,2016,49.1,47.8,50.5,17.2,16.7,17.6,34.6,33.6,35.5
83,Israel,2016,20.1,19.2,20.9,7.2,6.9,7.5,15.1,14.4,15.7
84,Italy,2016,35.6,34.7,36.5,12.3,12.0,12.6,25.9,25.3,26.6
85,Jamaica,2016,32.6,31.2,33.9,11.8,11.3,12.3,25.8,24.7,26.8
86,Japan,2016,41.0,39.8,42.3,14.2,13.8,14.6,30.4,29.5,31.3
87,Jordan,2016,62.5,58.3,66.7,22.9,21.4,24.5,53.2,49.7,56.8
88,Kazakhstan,2016,54.0,51.9,56.1,19.2,18.4,19.9,41.5,39.9,43.1
89,Kenya,2016,37.3,35.3,39.3,13.9,13.2,14.7,30.4,28.7,32.1
90,Kiribati,2016,9.6,8.9,10.3,3.5,3.3,3.8,7.9,7.3,8.4
91,Kuwait,2016,2.4,1.6,3.2,0.8,0.6,1.1,2.1,1.4,2.8
92,Kyrgyzstan,2016,64.6,61.6,67.6,23.5,22.4,24.5,51.9,49.5,54.3
93,Lao People's Democratic Republic,2016,71.4,68.1,74.6,26.6,25.4,27.9,56.0,53.4,58.6
94,Latvia,2016,54.3,52.6,56.0,18.7,18.1,19.3,37.2,36.0,38.3
95,Lebanon,2016,64.1,61.6,66.5,23.2,22.3,24.1,54.1,52.0,56.1
96,Lesotho,2016,74.0,70.3,77.7,27.9,26.5,29.3,61.0,57.9,64.0
97,Liberia,2016,50.1,47.6,52.6,18.7,17.8,19.6,40.5,38.4,42.5
98,Libya,2016,67.4,60.4,74.5,24.2,21.7,26.7,57.0,51.1,63.0
99,Lithuania,2016,60.3,58.8,61.9,20.9,20.4,21.5,41.0,39.9,42.0
100,Luxembourg,2016,44.4,43.1,45.6,15.5,15.1,15.9,30.6,29.7,31.4
101,Madagascar,2016,24.4,22.9,25.9,9.1,8.6,9.7,20.0,18.7,21.2
102,Malawi,2016,40.9,38.7,43.2,15.5,14.6,16.3,33.4,31.6,35.2
103,Malaysia,2016,8.4,7.9,8.8,3.0,2.9,3.2,6.7,6.3,7.1
104,Maldives,2016,86.3,79.6,93.1,31.6,29.1,34.1,72.8,67.1,78.5
105,Mali,2016,15.1,14.2,16.1,5.7,5.4,6.1,12.4,11.6,13.1
106,Malta,2016,37.5,36.2,38.8,13.1,12.6,13.5,27.8,26.8,28.7
107,Mauritania,2016,9.5,8.7,10.4,3.5,3.2,3.8,8.1,7.4,8.8
108,Mauritius,2016,31.4,30.0,32.9,11.1,10.6,11.6,25.0,23.8,26.1
109,Mexico,2016,42.6,41.0,44.2,15.4,14.9,16.0,33.1,31.9,34.3
110,Micronesia (Federated States of),2016,41.7,39.7,43.8,15.7,14.9,16.5,34.9,33.2,36.6
111,Mongolia,2016,59.7,57.4,61.9,21.5,20.6,22.3,47.2,45.5,49.0
112,Montenegro,2016,42.7,41.1,44.2,15.0,14.5,15.5,32.1,30.9,33.3
113,Morocco,2016,63.1,59.3,67.0,22.8,21.4,24.2,52.9,49.6,56.1
114,Mozambique,2016,30.4,28.7,32.1,11.5,10.9,12.2,24.6,23.2,26.0
115,Myanmar,2016,47.7,44.3,51.1,17.2,16.0,18.5,38.1,35.4,40.8
116,Namibia,2016,88.3,85.1,91.5,32.9,31.7,34.1,70.1,67.5,72.6
117,Nauru,2016,72.3,68.5,76.1,26.8,25.4,28.2,59.0,55.9,62.1
118,Nepal,2016,20.3,18.8,21.9,7.6,7.0,8.1,16.1,14.9,17.3
119,Netherlands,2016,36.0,35.2,36.9,12.6,12.3,12.9,26.0,25.3,26.6
120,New Zealand,2016,43.6,42.4,44.8,15.4,15.0,15.8,30.9,30.1,31.8
121,Nicaragua,2016,43.6,41.8,45.3,16.0,15.4,16.7,34.5,33.1,35.9
122,Niger,2016,6.5,6.0,7.1,2.5,2.3,2.7,5.4,4.9,5.8
123,Nigeria,2016,70.7,67.8,73.7,26.4,25.3,27.5,55.0,52.8,57.3
124,Niue,2016,57.0,55.3,58.8,21.1,20.5,21.8,45.5,44.1,46.9
125,Norway,2016,28.6,27.7,29.4,10.0,9.7,10.3,20.4,19.8,21.0
126,Oman,2016,21.3,20.1,22.6,7.6,7.2,8.0,19.7,18.6,20.9
127,Pakistan,2016,65.9,60.2,71.7,24.4,22.2,26.5,56.2,51.3,61.1
128,Panama,2016,46.3,44.8,47.7,16.6,16.1,17.2,35.7,34.5,36.8
129,Papua New Guinea,2016,22.2,21.0,23.4,8.2,7.8,8.6,18.5,17.5,19.5
130,Paraguay,2016,54.4,52.3,56.5,20.0,19.2,20.7,43.5,41.8,45.1
131,Peru,2016,33.7,32.5,34.8,12.2,11.8,12.6,25.6,24.7,26.5
132,Philippines,2016,53.9,51.5,56.3,19.7,18.9,20.6,43.1,41.2,45.0
133,Poland,2016,51.5,49.9,53.2,17.9,17.3,18.4,37.0,35.8,38.2
134,Portugal,2016,54.3,52.5,56.2,18.8,18.2,19.5,38.4,37.1,39.7
135,Qatar,2016,10.3,9.8,10.8,3.7,3.5,3.8,9.4,9.0,9.8
136,Republic of Korea,2016,47.0,45.7,48.3,16.4,15.9,16.8,34.6,33.6,35.6
137,Republic of Moldova,2016,68.5,65.2,71.8,24.0,22.9,25.2,49.2,46.8,51.6
138,North Macedonia,2016,43.2,40.9,45.6,15.2,14.3,16.0,32.7,30.9,34.5
139,Romania,2016,56.6,54.7,58.4,19.5,18.9,20.2,40.7,39.3,42.0
140,Russian Federation,2016,66.0,63.1,68.8,22.8,21.8,23.8,43.5,41.6,45.4
141,Rwanda,2016,71.3,68.6,74.0,26.8,25.8,27.8,55.4,53.3,57.5
142,Saint Kitts and Nevis,2016,48.9,47.7,50.0,17.6,17.2,18.0,37.0,36.1,37.9
143,Saint Lucia,2016,56.4,54.5,58.3,20.2,19.5,20.9,42.8,41.4,44.3
144,Saint Vincent and the Grenadines,2016,49.2,47.5,50.9,17.6,17.0,18.2,38.2,36.9,39.5
145,Samoa,2016,40.6,38.8,42.4,14.9,14.2,15.6,33.9,32.4,35.4
146,Sao Tome and Principe,2016,54.4,52.1,56.8,20.3,19.5,21.2,43.5,41.7,45.4
147,Saudi Arabia,2016,9.7,9.0,10.5,3.4,3.2,3.7,8.1,7.5,8.8
148,Senegal,2016,9.4,8.7,10.1,3.5,3.3,3.8,7.6,7.0,8.2
149,Serbia,2016,54.2,52.5,56.0,19.0,18.4,19.6,39.9,38.7,41.2
150,Seychelles,2016,62.1,60.1,64.1,21.8,21.2,22.5,47.2,45.7,48.7
151,Sierra Leone,2016,49.2,46.7,51.7,18.4,17.5,19.4,39.5,37.5,41.5
152,Singapore,2016,8.7,8.4,9.0,3.0,2.9,3.1,6.3,6.0,6.5
153,Slovakia,2016,50.0,48.4,51.6,17.3,16.8,17.9,35.8,34.7,36.9
154,Slovenia,2016,53.2,51.6,54.8,18.3,17.7,18.9,38.3,37.1,39.5
155,Solomon Islands,2016,27.1,25.9,28.3,10.1,9.7,10.6,22.6,21.6,23.6
156,Somalia,2016,3.9,3.6,4.3,1.5,1.4,1.6,3.3,3.0,3.6
157,South Africa,2016,81.0,78.0,84.1,29.6,28.5,30.8,64.6,62.1,67.0
158,Spain,2016,43.8,42.3,45.2,15.1,14.5,15.6,31.5,30.4,32.6
159,Sri Lanka,2016,40.8,38.9,42.8,14.5,13.8,15.2,32.2,30.6,33.7
160,Sudan,2016,56.1,50.6,61.6,20.9,18.9,23.0,47.5,42.9,52.2
161,Suriname,2016,33.6,32.5,34.7,12.0,11.6,12.4,26.2,25.4,27.1
162,Sweden,2016,37.6,36.2,39.0,13.2,12.7,13.7,27.1,26.1,28.1
163,Switzerland,2016,43.6,42.4,44.7,15.2,14.8,15.6,30.6,29.8,31.4
164,Syrian Arab Republic,2016,37.5,35.7,39.2,13.9,13.3,14.6,33.4,31.9,34.9
165,Tajikistan,2016,41.7,38.6,44.9,15.4,14.3,16.6,34.2,31.6,36.8
166,Thailand,2016,56.7,54.7,58.8,19.8,19.1,20.5,43.9,42.3,45.5
167,Timor-Leste,2016,24.9,23.0,26.8,9.3,8.6,10.1,20.5,18.9,22.1
168,Togo,2016,32.1,30.3,33.9,12.0,11.3,12.7,26.0,24.5,27.4
169,Tonga,2016,27.9,26.4,29.5,10.3,9.8,10.9,23.1,21.8,24.4
170,Trinidad and Tobago,2016,41.4,40.2,42.7,14.6,14.1,15.0,30.8,29.9,31.7
171,Tunisia,2016,88.1,83.9,92.3,31.4,29.9,32.9,79.1,75.3,82.9
172,Türkiye,2016,71.9,68.5,75.4,25.8,24.5,27.0,61.7,58.7,64.6
173,Turkmenistan,2016,48.5,46.2,50.9,17.6,16.8,18.5,38.6,36.7,40.5
174,Tuvalu,2016,31.3,30.0,32.7,11.6,11.1,12.1,25.9,24.8,27.0
175,Uganda,2016,70.7,68.3,73.2,26.9,26.0,27.9,56.3,54.3,58.3
176,Ukraine,2016,44.3,42.1,46.4,15.3,14.6,16.0,29.9,28.5,31.4
177,United Arab Emirates,2016,47.3,44.6,50.1,16.5,15.6,17.5,44.2,41.7,46.8
178,United Kingdom of Great Britain and Northern Ireland,2016,47.1,45.9,48.3,16.5,16.1,17.0,33.7,32.8,34.6
179,United Republic of Tanzania,2016,70.4,67.1,73.6,26.4,25.2,27.7,55.7,53.1,58.3
180,United States of America,2016,41.0,40.0,42.1,14.4,14.1,14.8,29.6,28.8,30.4
181,Uruguay,2016,47.4,45.8,49.0,16.8,16.2,17.4,34.0,32.8,35.1
182,Uzbekistan,2016,34.2,32.4,35.9,12.4,11.8,13.1,27.7,26.3,29.1
183,Vanuatu,2016,19.2,18.1,20.4,7.1,6.7,7.5,15.9,15.0,16.9
184,Venezuela (Bolivarian Republic of),2016,40.9,39.5,42.3,14.8,14.3,15.3,32.1,31.0,33.2
185,Viet Nam,2016,62.9,58.5,67.2,22.4,20.8,23.9,49.3,45.9,52.7
186,Yemen,2016,23.8,22.4,25.1,9.0,8.5,9.5,20.3,19.1,21.4
187,Zambia,2016,47.3,44.9,49.8,17.9,17.0,18.8,38.3,36.4,40.3
188,Zimbabwe,2016,71.8,68.9,74.7,27.1,26.0,28.2,58.8,56.5,61.2
